"","Fiche","year","Marque","Produit","Date","Support","Format","Secteur","Classe","Groupe","Variété","N° Groupe/Variété","Signature","Script","Incrustation","Titre","Version","Visuel","MotsClés","Thème","Agence","Month","Electric","Hybrid","length","n","Annonceur2"
"1985","6922679",2017,"VW GOLF","VW GOLF",2017-03-05,"EUROSPORT","00:29","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES AUTOMOBILES",40104,NA,"Voix homme (1) : "" Nouvelle GOLF avec technologie Gesture Control.
 (1) ... Demain démarre aujourd'hui. ""
 Voix homme (2) : "" VOLKSWAGEN. ""","Faites un geste, elle s'occupe du reste. Nouvelle GOLF avec technologie Gesture Control. En option selon finition. Demain démarre aujourd'hui. VOLKSWAGEN. #ImpossibleChallenge.","LE POUVOIR DES GESTES",NA,"Après une succession de séquences montrant le pouvoir de certains gestes (une maman et son enfant qui apprend à marcher, un policier qui fait la circulation, un chef d'orchestre qui dirige les instrumentistes), un homme à bord de sa nouvelle GOLF passe sa main sur le tableau de bord et allume ainsi la musique.","MAIN , MAGIE , POUVOIR , HASHTAG","PRATIQUE, ESOTERISME, INNOVATION, UNIVERS POLICIER, EFFET, LIEN MATERNEL, MUSIQUE AUTRE, NOUVEAUTE AUTRE, RESEAUX SOCIAUX AUTRES","DDB PARIS",3,0,0,311,827,"VOLKSWAGEN"
"1986","6905171",2017,"FORD KUGA","FORD KUGA",2017-02-27,"BFM TV","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES AUTOMOBILES",40104,"Go further. Allons plus loin.","Voix homme : "" Nouveau FORD KUGA, une autre façon de voir la vie.
 
 ... En ce moment, découvrez le nouveau FORD KUGA, Diesel TDCI, avec régulateur de vitesse et jantes alliage à 249 euros par mois. ""","Hayon mains libres dès finition Titanium. Audio Ford SYNC 3 en option sur Trend. Êtes-vous KUGA ? FORD. Nouveau KUGA. FORD. Go Further. ford.fr. Allons plus loin. Nouveau FORD KUGA. A partir de 249 euros/mois*. Trend 1.5 Diesel TDCI 120 ch. Bluetooth. Climatisation. Régulateur de vitesse. Jantes alliage. LOA 48 mois. 1er loyer de 3 930 euros. Coût total si achat : 24 540,65 euros. Un crédit vous engage et doit être remboursé. Vérifiez vos capacités de remboursement avant de vous engager. *Location avec Option d'Achat à particuliers de ce KUGA TREND neuf jusqu'au 31/03/17. Prix remisé avec Pack Style Plus : 23 500 euros. 15 000 km/an. Option d'Achat 8 910 euros. Assurances facultatives décès-incapacité dès 17,63 euros/mois en sus du loyer. Coût de l'assurance : 846,24 euros par Groupe Axa n° Orias : 07 008 500. Si acceptation par Ford Credit n° Orias : 07 009 071. Délai légal de rétractation. Modèle présenté : KUGA ST-Line 1.5 TDCI 120 ch avec options, prix remisé : 30 320 euros, 1er loyer de 3 930 euros, option d'achat : 11 178 euros. Coût total si achat : 32 695,87 euros, 47 loyers de 374,21 euros/mois.","LA SÉANCE DE SPORT / DIESEL","M.FEMME SPORT 31/03/17 FIN 249E","Le week-end, alors que toute la petite famille dort encore, une femme dans son lit ouvre les yeux et voit son FORD KUGA garé dehors qui lui fait de l'oeil. Elle se retourne mais rien n'y fait, elle le voit toujours dans le miroir. Bon gré, mal gré, elle se lève, se prépare et enfile ses affaires de sport. Elle se dirige alors vers le parc où elle court avec ses amies, au volant de son FORD KUGA auquel, elle n'a pas pu résister.","SIGNE , WEEK-END , FAINÉANTISE , MAINS LIBRES","PRATIQUE, INTERPELLATION, INTERROGATION, JOGGING, ANGLAIS, SIGNATURE ETRANGERE, SPORT AUTRE, UNIVERS TRANSPORT AUTRE, SOMMEIL","HOGARTH WORLDWIDE",2,0,0,431,229,"FORD"
"1987","6905177",2017,"FORD KUGA","FORD KUGA",2017-02-27,"CNEWS","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES AUTOMOBILES",40104,"Go further. Allons plus loin.","Voix homme : "" Nouveau FORD KUGA, une autre façon de voir la vie.
 
 ... En ce moment, découvrez le nouveau FORD KUGA, Diesel TDCI, avec régulateur de vitesse et jantes alliage à 249 euros par mois. ""","Hayon mains libres dès finition Titanium. Audio Ford SYNC 3 en option sur Trend. Êtes-vous KUGA ? FORD. Nouveau KUGA. FORD. Go Further. ford.fr. Allons plus loin. Nouveau FORD KUGA. A partir de 249 euros/mois*. Trend 1.5 Diesel TDCI 120 ch. Bluetooth. Climatisation. Régulateur de vitesse. Jantes alliage. LOA 48 mois. 1er loyer de 3 930 euros. Coût total si achat : 24 540,65 euros. Un crédit vous engage et doit être remboursé. Vérifiez vos capacités de remboursement avant de vous engager. *Location avec Option d'Achat à particuliers de ce KUGA TREND neuf jusqu'au 31/03/17. Prix remisé avec Pack Style Plus : 23 500 euros. 15 000 km/an. Option d'Achat 8 910 euros. Assurances facultatives décès-incapacité dès 17,63 euros/mois en sus du loyer. Coût de l'assurance : 846,24 euros par Groupe Axa n° Orias : 07 008 500. Si acceptation par Ford Credit n° Orias : 07 009 071. Délai légal de rétractation. Modèle présenté : KUGA ST-Line 1.5 TDCI 120 ch avec options, prix remisé : 30 320 euros, 1er loyer de 3 930 euros, option d'achat : 11 178 euros. Coût total si achat : 32 695,87 euros, 47 loyers de 374,21 euros/mois.","LE PIQUE-NIQUE / DIESEL","M.LE PIQUE-NIQUE 249 E 31/03/17","Une mère de famille est sur le point de mettre la table lorsqu'elle réalise que, bien que dans la même pièce, tout un chacun dans le foyer a les yeux rivés sur un écran sans se préoccuper des autres. Apercevant sa KUGA, elle a alors l'idée d'embarquer tout ce petit monde dans la nature pour un pique-nique partagé dans la bonne humeur au bord d'un lac.","REPAS , PARTAGE , MAINS LIBRES","NATURE, PRATIQUE, FEMME, INTERPELLATION, INTERROGATION, FAMILLE, SIGNATURE ETRANGERE, UNIVERS LOISIRS, CHANGEMENT AUTRE","HOGARTH WORLDWIDE",2,0,0,353,229,"FORD"
"1988","6909595",2017,"PEUGEOT 108","PEUGEOT 108 COLLECTION",2017-02-28,"FRANCE 5","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES AUTOMOBILES",40104,"PEUGEOT, motion & Emotion.","Voix femme : "" Découvrez la PEUGEOT 108 COLLECTION et profitez d'une reprise Argus + 2000 euros sur toute la gamme 108. ""","(1) Soit 2000€, ajoutés à la valeur de reprise de votre véhicule, d'une puissance inférieure ou égale au véhicule acheté. Argus moins frais de remise en état et frais professionnels de 15%. Offre non cumulable, réservée aux particuliers, valable pour toute commande d'une 108 neuve hors version Access et Active jusqu'au 29/04/2017 et livrée avant le 30/06/2017, dans le réseau PEUGEOT participant. Série spéciale PEUGEOT 108 COLLECTION. Gamme 108. reprise Argus* + 2000€(1). PEUGEOT. Motion & Emotion.","MIKA","M. MIKA LES POUSSINS 30/06/17","Mika et sa 108 se coordonnent, s'influencent respectivement et transforment le monde autour d'eux.","BALLON , PARAPLUIE , ROUGE , JEUNE , BLEU , POUSSIN , PERSONNALISATION , ELEGANCE , POP , MIMETISME","COULEUR, CHOIX, BONNE HUMEUR, UNIVERS URBAIN, ANGLAIS, EFFET, SIGNATURE ETRANGERE, MUSIQUE CELEBRE, PERSONNE CELEBRE AUTRE, CHANGEMENT AUTRE","BETC",2,0,0,98,778,"PEUGEOT AUTOMOBILES"
"1989","6924687",2017,"OPEL ASTRA","OPEL ASTRA",2017-03-06,"BFM TV","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES AUTOMOBILES",40104,NA,"Voix adolescent (1) : "" Mon père vient ...
 (1) ... d'acheter la voiture ...
 (1) ... la plus cool du monde !
 (1) ... Moteur V8, ...
 (1) ... peinture mate, jantes chromées de 22 pouces !
 (1) ... Et toi, il a quoi ton père ?  ""
 
 L'adolescent (2) : "" Le wifi !  ""
 
 Voix homme (3) : "" L'OPEL ASTRA avec ...
 (3) ... OPEL ON STAR, ...
 (3) ... votre assistant personnel pour la connectivité et ...
 (3) ... les services, ...
 (3) ... avec wifi haut-débit ...
 (3) ... à  bord, ...
 (3) ... pour connecter jusqu'à 7 appareils.
 (3) ... Et pour l'achat d'une ASTRA, ...
 (3) ... OPEL reprend votre voiture ...
 (3) ... au prix de l'Argus + 4000 euros. 
 
 (3) ... Portes ouvertes les 18 et 19 mars. ""","OnStar disponible de série. Services gratuits la 1ère année, payants au-delà si souscrit. (1) Reprise de votre ancien véhicule, d'une puissance réelle inférieure ou égale à celle du véhicule acheté, aux conditions générales de l'Argus +4000€ TTC. Pour les véhicules hors cote Argus, reprise de 4000€ uniquement. Offre non cumulable, réservée aux particuliers, valable pour l'achat d'une OPEL ASTRA neuve, commandée en France métropolitaine jusqu'au 31/03/2017 dans le réseau OPEL participant. WiFi : offre soumise à conditions. OPEL ONSTAR on board. On board = à bord.  OPEL ASTRA. Reprise Argus +4000€(1). OPEL. OPEL ASTRA. Portes ouvertes. Les 18 & 19 mars*. *Selon autorisation.","LE VANTARD","M. FRIMEURS FIN PO 18 ET 19 MARS","A la sortie de l'école, un jeune garçon se vante devant ses copains, et plus particulièrement l'un d'entre eux, sur le fait que son père vient d'acheter la voiture la plus ""cool"" du monde. Puis, se croyant plus intéressant et plus fort que son ""rival"", il lui demande à son tour ce que son père a comme voiture. Le jeune lui rétorque tout simplement que le véhicule de son patriarche possède le wifi. Au même moment, ledit père se gare avec son OPEL ASTRA flambant neuve devant l'école et le jeune ado peut ainsi prouver à ses amis que son véhicule a vraiment tout pour plaire.","ESPACE , SATELLITE , ADOLESCENT , PLANETE TERRE , RIVALITE","PRATIQUE, JEUNE, SECURITE, INNOVATION, AMITIE, JALOUSIE, LIEN PATERNEL, HEROS PUBLICITAIRE, SERVICE AUTRE, ILLUSTRATION VISUELLE, TABLETTE, OBJET CONNECTE","YOUNG & RUBICAM",3,0,0,577,311,"OPEL"
"1990","6924745",2017,"FIAT","FIAT GAMME AUTOS",2017-03-06,"CNEWS","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","GAMME-OPERATION SPECIALE",40103,NA,"Voix homme : "" Les affaires ne s'arrêtent jamais.
 ... Nouvelle gamme FIAT professionnal, conçue pour travailler 24H/24.
 
 ... En ce moment, le FIAT DUCATO Pack Pro Nav suréquipé avec 3 ans d'entretien inclus est à seulemet 195 euros HT par mois. ""","Fullback. Fiorino. Talento. Ducato. Doblo. Nouvelle gamme FIAT professional. A découvrir chez votre distributeur. FIAT Professional. #procommevous. FIAT DUCATO Pack pro nav 2.0 multijet 115. A partir de 195€ HT/mois(1). Crédit-bail sur 36 mois et 60 000km avec 1er loyer majoré de 5 837,16€ HT. 3 ans d'entretien, véhicule de remplacement, garantie et assistance inclus. (1) FIAT DUCATO fourgon tôlé 3.0 CH1 2.0 MultiJet 115ch Pack pro Nav en crédit-bail sur 36 mois et 60 000km avec 1er loyer majoré de 5837,16€ HT incluant la garantie, l'entretien, le véhicule de remplacement et l'assistance. Offre non cumulable réservée aux professionnels (hors loueurs et flottes) jusqu'au 31/13/2017 dans le réseau FIAT professional participant. Sous réserve d'acceptation par FCA Leasing France enregistrée à l'Orias. Assistance garantie et mise en oeuvre par Europ Assitance; Modèle présenté : DUCATO Fourgon Tôlé 3.0 MH2 2.0 Multijet 115ch pack Techno avec option peinture métallisée 239€HT/mois. Conditions sur www.fiatprofessional.fr.","LE TRAVAIL NE S'ARRÊTE JAMAIS","REVEIL 195E PAR MOIS 31/03/2017","Des professionnels travaillent à toute heure du jour et de la nuit à bord des différents utilitaires de la gamme FIAT.","HASHTAG","CHRONOLOGIE, UNIVERS PROFESSIONNEL, RESERVE A, TEMPORALITE AUTRE, SEMAINE SPECIALE AUTRE, NOCTURNE, RESEAUX SOCIAUX AUTRES","LEO BURNETT",3,0,0,118,474,"FIAT"
"1991","6924798",2017,"FORD KA","FORD KA+",2017-03-06,"CNEWS","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES AUTOMOBILES",40104,"FORD, go further*. *Allons plus loin.","L'homme (1) : "" Et pour le prix, vous tombez bien, ...
 (1) ... en ce moment la FORD K + est à seulement 99 euros par mois.
 La femme (2) : "" 99 euros par mois ?!
 (2) ... Dites donc, c'est pas un peu gros votre truc ...
 (2) ... pour séduire les clientes ?
 (1) ... Ah, non, non pas du tout ! Non, non, c'est vraiment son prix !
 (2) ... Bon arrêtez ! On se connait à peine !
 (2) ... En plus je suis mariée, donc euh...
 (1) ... Ah mais...
 (2) ... Mais il y a pas de mais ! Je peux pas tout quitter et partir avec vous comme ça ! On irait où ?
(1) ... Euh...
 
 Voix homme (3) : "" Chez FORD, on en fait tellement pour vous ...
 (3) ... qu'on pourrait s'y méprendre.
 (3) ... En mars, la nouvelle FORD KA + avec 5 vraies places est à 99 euros par mois. ""","*Location avec option d'achat à particuliers de cette KA+. Essentiel neuve jusqu'au 31/03/17. Prix maxi remisé : 8 780€. 10 000km/an. Option d'achat : 3497€. Assurance facultative décès-incapacité dès 6,59€/mois en sus du loyer. Coût de l'assurance : 316,32€ par groupe Axa. Si acceptation par FORD. Délai légal de rétractation. Modèle présenté : KA+ Ultimate 1.2 Ti-VCT 85 ch, prix remisé : 11 630€, 1er loyer de 990€, option d'achat de 4 043€, coût total si achat : 12 393,27€, 47 loyers de 156,60€/mois. FORD, go further. ford.fr. Allons plus loin. Nouvelle FORD KA+ à partir de 99€/mois*. LOA 48 mois. 1er loyer de 990€. Coût total si achat : 9139,50€. Un crédit vous engage et doit être remboursé. Vérifiez vos capacités de remboursement avant de vous engager. 5 vraies places, limiteur de vitesse, ordinateur de bord, iade au démarrage e, côte.","POUR SÉDUIRE LES CLIENTES","M.SEDUCTION 31/03/17 99E/MOIS","Un concessionnaire présente la FORD KA+ à une cliente. A l'annonce du prix, la jeune femme est très étonnée et pense que c'est une stratégie pour séduire les clientes.",NA,"INTERROGATION, DISCOURS DECALE AUTRE, AMBIGUITE, SIGNATURE ETRANGERE, ETONNEMENT, HUMOUR AUTRE, SENSATIONS AUTRE, PENSEE AUTRE, COMPORTEMENT AUTRE, DISCOURS PRIX, AIDES FINANCIERES ET SOCIALES",NA,3,0,0,167,229,"FORD"
"1992","6924948",2017,"NISSAN QASHQAI","NISSAN QASHQAI",2017-03-06,"BFM TV","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES AUTOMOBILES",40104,"Innovation that excites. Innover autrement.","Voix homme : "" Certains choix s'imposent d'eux-mêmes.
 ... NISSAN QASHQAI, le crossover original depuis 10 ans.
 ... Profitez du NISSAN QASHQAI N-CONNECTA ...
 ... suréquipé ...
 ... sans apport, sans condition, avec 4 ans d'entretien inclus pendant les portes ouvertes du 17 au 19 mars. ""","(1) Ex NISSAN QASHQAI N-Connecta DIG-T 115 neuf Location Longue Durée 49 mois, 40.000km maxi. 48 loyers de 289€ après 1er loyer 3465€ offert. Restitution en fin de contrat  avec paiement frais remise état standard et km supp. Sous réserve accord DIAC jusqu'au 31 mars 2017 chez Concessionnaires participants. (2) Hors pièces d'usure et pneumatiques. Détails : nissan.fr. 10 ans anniversaire NISSAN QASHQAI. NISSAN QASHQAI. Le crossover original. NISSAN. Innovation that excites. Innover autrement.  Modèle présenté : NISSAN QASHQAI N-CONNECTA DIG-T 115 option peinture métal et pack Design, LLD 48 loyers 306€ après 1er loyer 3662€ offert, entretien inclus (2). NISSAN QASHQAI N-Connecta. Le crossover suréquipé. A partir de 289€/mois(1) LLD 49 mois, sans apport, sans condition, 4 ans d'entretien (2). Portes ouvertes les 17, 18 et 19 mars.","OBSESSION","M. H PERSECUTE SURIMP SS VOITURE 10 ANS","Dans divers moments de sa vie quotidienne, un homme retrouve à tous les coins de rue une NISSAN QASHQAI blanche. Etonné, quelque peu effrayé par ses apparitions constantes au coeur de la ville, cette dernière s'impose alors à lui comme un choix évident, devenu inévitablement pour lui une obsession.","HALLUCINATION , ORIGINAL","GARANTIE, CHOIX, DESIGN, UNIVERS URBAIN, PEUR, CONVOITISE, OBSESSION, SIGNATURE ETRANGERE, VUE, ROCK, FESTIF, ETONNEMENT, SIGNATURE SONORE, OFFRE DE FINANCEMENT, MENTION OBLIGATOIRE CREDIT","TBWA PARIS",3,0,0,299,343,"NISSAN AUTOMOBILES"
"1993","6928511",2017,"OPEL CORSA","OPEL CORSA ENJOY",2017-03-06,"CNEWS","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES AUTOMOBILES",40104,NA,"Le jeune homme (1) : "" Y'a le wifi si tu veux...
 La jeune femme (2) : "" Dans cette voiture ?
 (1) ... Ouais ! En haut débit !
 (2) ... Mot de passe ?  ""
 (1) ... Euh... CORSA... 2017.
 Voix homme (3) : "" Avec un C majuscule ! ""
(1) ... Avec un... hum hum... un C majuscule... ""
 
 
 
 Voix homme (4) : "" Découvrez la CORSA ENJOY ...
 (4) ... à partir de 9490 euros. Portes ouvertes les 18 et 19 mars selon autorisation. ""","CORSA. (1) OnStar disponible selon version. Services gratuits la 1ère année, payants au-delà si souscrit. (2) Ex CORSA ENJOY 3p 1.2 après déduction d'une remise de 2900€ et de l'aide à la reprise de 1000€. Reprise de votre ancien véhicule, d'une puissance réelle inférieure ou égale à celle du véhicule acheté, aux conditions générales de l'Argus +1000€ TTC. Pour les véhicules hors côte Argus, reprise de 1000€ uniquement. Offre non cumulable, réservée aux particuliers, valable pour l'achat d'une CORSA neuve, commandée en France métropolitaine jusqu'au 31/03/2017 dans le réseau OPEL participant. Modèle présenté : CORSA 3p Innovation 1.4T avec options au prix de 15200€. Détails sur OPEL-PROMO.FR. WiFi : offre soumise à conditions. OPEL ON STAR (1) on board. *On board = à bord. WIFI à bord. CORSA ENJOY à partir de 9490€(2) sous condition de reprise. WiFi haut débit en option. OPEL. OPEL CORSA.","LE RENDEZ-VOUS","E. RDV WIFI 31/03/2017 TXT PO 18 ET 19 M","Le soir venu, lors d'un rendez-vous galant dans un véhicule assez ancien, le jeune propriétaire dudit véhicule, intimidée par sa prétendante mais désireux de se valoriser à ses yeux, lui propose l'utilisation du wifi. Celle-ci, étonnée, ne s'attendait aucunement à pouvoir se servir du wifi dans une pareille voiture. La jeune femme lui demande le mot de passe pour l'obtenir. C'est alors que, situés dans une OPEL CORSA ENJOY à quelques mètres, des amis du jeune homme interviennent sans trop de discrétion et riant aux éclats.","VIEILLE VOITURE , RENDEZ-VOUS , SE MOQUER , WIFI","SEDUCTION, PRATIQUE, VALORISATION, JEUNE, DESIGN, INNOVATION, AMITIE, RETRO, DIFFERENCE, COUPLE, DERISION, ETONNEMENT, HUMOUR AUTRE, TEMPORALITE AUTRE, NOUVEAUTE AUTRE, NOCTURNE","YOUNG & RUBICAM",3,0,0,528,311,"OPEL"
"1994","6928503",2017,"PEUGEOT 3008","PEUGEOT LES IMMANQUABLES 3008",2017-03-07,"M6","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES & OPERATION SPECIALE",40102,"PEUGEOT, motion & emotion.","Voix homme (1) : "" Alors que j'essayais la 2008, le vendeur ....
 
 (1) ... me dit : ""Prenez ce chemin et mettez le Grip Control"".
 (1) ... Moi : ""Ha elle l'a ?"". Alors je tourne le bouton.
 (1) ... Et là, rien ne peut nous arrêter.
 (1) ... Hahahahaha !
 (1) ... Tout se passait bien, quand, sur un tout petit chemin, il a fallu faire demi-tour.
 (1) ... Je lui dis alors : ""Mais j'y arriverais jamais !"".  Lui :  ""Mais si on a la caméra de recul"". 
 (1) ... Moi : ""Ha elle l'a aussi ?"".
 (1) ... Et bah crois-moi si tu veux, c'est comme si j'avais tout une équipe pour m'aider à faire marche-arrière.
 (1) ... Et lui : ""Attention ça tourne !"".
 La femme (2) : "" Waouh ! Et elle est produite en France ?  ""
 (1) ... Elle l'est ! "" 
 Voix femme (3) : "" Pour l'achat d'un nouveau 2008,  PEUGEOT reprend votre véhicule 3000 euros en plus de l'argus.  ""","*Soit 3000€ ajoutés à la valeur de reprise de votre véhicule, d'une puissance réelle inférieure ou égale à celle du véhicule neuf acheté. Argus moins frais de remise en état et frais professionnels de 15%. Offre non cumulable, réservée aux particuliers, valable pour toute commande d'une 2008, neuve, hors Access et Active en stock, commandée avant le 29/04/2017 et livrée sur le même mois que la commande. LES IMMANQUABLES PEUGEOT. Nouveau SUV PEUGEOT 2008. Reprise Argus + 3000€*. PEUGEOT. Motion & Emotion.","L'ÉQUIPE DE TOURNAGE","M.BALADE FORET 29/04/2017","Un homme raconte en off à sa femme le moment où il a essayé en forêt la PEUGEOT 2008 Allure. Le tout illustré par quelques mises en scène humoristiques, il narre mot pour mot les dialogues qu'il a eus avec le vendeur.","FORÊT , EXAGÉRATION , TOURNAGE CINÉMA","CINEMA, INTERROGATION, UNIVERS METEOROLOGIQUE, HUMOUR ABSURDE, LOGO ANIMAL, SAGA, SIGNATURE ETRANGERE, HISTOIRE AUTRE, HEROS PUBLICITAIRE, DISCOURS PRIX, SIGNATURE SONORE, MONOLOGUE","BETC",3,0,0,217,778,"PEUGEOT AUTOMOBILES"
"1995","6929700",2017,"PEUGEOT 2008","PEUGEOT LES IMMANQUABLES 2008",2017-03-07,"M6","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES & OPERATION SPECIALE",40102,"PEUGEOT, motion & emotion.","Voix homme (1) : "" Alors que j'essayais la 2008, le vendeur ....
 
 (1) ... me dit : "" Prenez ce chemin et mettez le Grip Control. ""
 (1) ... Moi : "" Ha elle l'a ? "". Alors je tourne le bouton.
 (1) ... Et là, rien ne peut nous arrêter.
 (1) ... Hahahahaha !
 (1) ... Tout se passait bien, quand, sur un tout petit chemin, il a fallu faire demi-tour.
 (1) ... Je lui dis alors : "" Mais j'y arriverais jamais ! "" Lui :  ""Mais si on a la caméra de recul. ""
 (1) ... Moi : "" Ha elle l'a aussi ? ""
 (1) ... Et bah crois-moi si tu veux, c'est comme si j'avais tout une équipe pour m'aider à faire marche-arrière.
 (1) ... Et lui : "" Attention ça tourne ! ""
 La femme (2) : "" Waouh ! Et elle est produite en France ? ""
 (1) ... Elle l'est ? ""
 Voix femme (3) : "" Pour l'achat d'un nouveau 2008, PEUGEOT reprend votre véhicule 3 000 euros, en plus de l'argus. ""","LES IMMANQUABLES PEUGEOT. Nouveau SUV PEUGEOT 2008. Reprise Argus + 3 000 euros*. *Soit 3 000 euros ajoutés à la valeur de reprise de votre véhicule, d'une puissance réelle inférieure ou égale à celle du véhicule neuf acheté. Argus moins frais de remise en état et frais professionnels de 15%. Offre non cumulable, réservée aux particuliers, valable pour toute commande d'une 2008, neuve, hors Access et Active en stock, commandée avant le 29/04/2017 et livrée sur le même mois que la commande. PEUGEOT. Motion & Emotion.","L'ÉQUIPE DE TOURNAGE","M.FORET 29/04/2017","Un homme raconte en off à sa femme le moment où il a essayé en forêt la PEUGEOT 2008 Allure. Le tout illustré par quelques mises en scène humoristiques, il narre mot pour mot les dialogues qu'il a eus avec le vendeur.","FORÊT , MADE IN FRANCE , EXAGÉRATION , TOURNAGE CINÉMA","CINEMA, MADE IN, INTERROGATION, UNIVERS METEOROLOGIQUE, HUMOUR ABSURDE, LOGO ANIMAL, SAGA, SIGNATURE ETRANGERE, HISTOIRE AUTRE, HEROS PUBLICITAIRE, DISCOURS PRIX, SIGNATURE SONORE, MONOLOGUE","BETC",3,0,0,217,778,"PEUGEOT AUTOMOBILES"
"1996","6930064",2017,"VW GOLF","VW GOLF",2017-03-08,"BFM TV","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES AUTOMOBILES",40104,NA,"Voix homme (1) : "" Nouvelle GOLF avec technologie Gesture control.
 (1) ... Demain démarre aujourd'hui. ""
 Voix homme (2) : "" VOLKSWAGEN. ""","Faites un geste, elle s'occupe du reste. Nouvelle GOLF avec technologie Gesture Control. En option selon finition. Demain démarre aujourd'hui. VOLKSWAGEN. Egalement disponible en version Business.","POWER OF GESTURES","E. CHEF D ORCHESTRE FIN SURIMP DIF","Mise en parallèle entre la technologie Gesture Control de la golf et les gestes d'un chef d'orchestre, d'une maman avec son bébé, d'un agent de la circulation ou encore d'une danse disco.","CHEF D'ORCHESTRE , GESTE","COMPARAISON, ENFANT, PRATIQUE, ANTINOMIE, DANSE, UNIVERS URBAIN, MODE DE VIE ASIE, UNIVERS POLICIER, BEBE, LIEN MATERNEL, DISCO","DDB PARIS",3,0,0,187,827,"VOLKSWAGEN"
"1997","6931211",2017,"NISSAN LEAF","NISSAN LEAF ELECTRIQUE",2017-03-08,"C+ COUPLAGE","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES ELECTRIQUES-GAMME ELECTRIQUE",40109,"NISSAN, innovation that excites. Innover autrement.","Voix homme : "" Il y a ceux qui parlent ...
 ... et il y a ceux qui agissent.
 ... Avec le premier réseau de bornes de recharge rapide en France, ...
 ... NISSAN agit toujours plus ...
 ... pour rendre l'électrique accessible à tous.
 
 ... Aujourd'hui, la NISSAN LEAF est le véhicule 100% électrique le plus vendu au monde.
 
 
 
 ... NISSAN. Leader mondial des véhicules 100% électriques depuis 2010.
 
 ... NISSAN, partenaire officiel de l'UEFA Champions League.  ""","NISSAN. Nissan.fr. 1er réseau de bornes de recharge rapide en France. 3 104 177 748 km parcourus en NISSAN LEAF.  Modèle présenté : version spécifique. NISSAN LEAF 100% électrique. Rejoignez le courant. NISSAN. Champions League. Nissan, partenaire officiel de l'UEFA Champions League. NISSAN. Innovation that excites. Innover autrement.","CEUX QUI PARLENT","M. CEUX QUI PARLENT FIN UEFA","Dans un labo futuriste, un homme manipule une carte holographique sur laquelle s'éclaire le réseau de recharge électrique NISSAN. Des propriétaires de NISSAN LEAF se rassemblent à la nuit tombée autour d'une montgolfière d'où sautent des parachutistes en combinaisons phosphorescentes.","ECOLOGIE , DIGITAL , TECHNOLOGIE AVANCEE","LEADER, PRATIQUE, FUTUR, FOOTBALL, DESIGN, INNOVATION, DURABILITE, PARACHUTISME, EXPERIENCE, ECONOMIE D'ENERGIE, SIGNATURE ETRANGERE, RAPIDITE, DEVELOPPEMENT DURABLE, ENVIRONNEMENT AUTRE, PARTENARIAT AUTRE, SAVOIR-FAIRE AUTRE, SENSATIONS AUTRE, FIERTE, SIGNE DE QUALITE AUTRE, NOCTURNE, AVENIR","TBWA PARIS",3,1,0,285,343,"NISSAN AUTOMOBILES"
"1998","6932315",2017,"BMW SERIE 5","BMW SERIE 5",2017-03-09,"BFM TV","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES AUTOMOBILES",40104,"Le plaisir de conduire.","Voix homme : "" Si je crois en moi, alors ...
 ... je peux y arriver.
 
 
 
 ... Si je me remets en cause, alors je peux progresser.
 
 
 
 ... Si je me dépasse, alors je pourrais relever tous les défis.
 
 ... Nouvelle BMW SERIES 5. ""","Business Athlete*. Nouvelle BMW Série 5. BMW Le plaisir de conduire. *profession : athlète.","TOUS LES DÉFIS","BUSINESS ATHLETES","L'acteur Scott Eastwood change de comportement et se remet en cause pour progresser. Il relève tous les défis au volant de la nouvelle BMW SERIE 5 BUSINESS ATHLETE.","SCOTT EASTWOOD","CINEMA, VALORISATION, PERSONNE CELEBRE AUTRE, NOUVEAUTE AUTRE, CHANGEMENT AUTRE, COMPORTEMENT AUTRE","JUNG VON MATT",3,0,0,164,134,"BMW"
